cliente_id,nombre,apellido,email,genero,fecha_registro,region,pais,edad,ingreso_mensual,activo,dias_desde_registro,segmento_ingreso,nombre_completo,ingreso_normalizado,grupo_etario
59,Diego,Araya,diego.araya59@mail.cl,F,2025-02-08,RM,Chile,53,2004544,False,357.0,Alto,Diego Araya,0.7543,Senior (+50)
60,Constanza,Pérez,constanza.pérez60@mail.cl,M,2026-02-05,RM,Chile,51,1150419,True,-5.0,Medio,Constanza Pérez,0.3252,Senior (+50)
61,Francisca,López,francisca.lópez61@mail.cl,M,2026-01-05,Coquimbo,Chile,62,1946403,False,26.0,Alto,Francisca López,0.7251,Senior (+50)
62,Daniela,Santelices,daniela.santelices62@mail.cl,F,2025-12-06,RM,Chile,41,2263211,False,56.0,Alto,Daniela Santelices,0.8842,Adulto (36-50)
63,Pedro,Araya,pedro.araya63@mail.cl,M,2025-04-11,Coquimbo,Chile,29,2048098,True,295.0,Alto,Pedro Araya,0.7761,Adulto Joven (26-35)
64,Juan,Silva,juan.silva64@mail.cl,F,2025-01-12,RM,Chile,48,1814093,False,384.0,Alto,Juan Silva,0.6586,Adulto (36-50)
65,Rodrigo,Rodriguez,rodrigo.rodriguez65@mail.cl,F,2025-09-21,Valparaíso,Chile,46,1138873,False,132.0,Medio,Rodrigo Rodriguez,0.3194,Adulto (36-50)
66,Francisca,Espinoza,francisca.espinoza66@mail.cl,F,2025-11-10,RM,Chile,67,657164,True,82.0,Bajo,Francisca Espinoza,0.0774,Senior (+50)
67,Rodrigo,Silva,rodrigo.silva67@mail.cl,F,2026-02-05,Coquimbo,Chile,27,1063044,True,-5.0,Medio,Rodrigo Silva,0.2813,Adulto Joven (26-35)
68,Daniela,Rodriguez,daniela.rodriguez68@mail.cl,M,2025-04-06,Valparaíso,Chile,41,2292662,False,300.0,Alto,Daniela Rodriguez,0.899,Adulto (36-50)
69,Catalina,Pérez,catalina.pérez69@mail.cl,F,2025-08-05,Coquimbo,Chile,52,914568,False,179.0,Medio,Catalina Pérez,0.2067,Senior (+50)
70,Juan,González,juan.gonzález70@mail.cl,F,2025-07-06,Coquimbo,Chile,36,678352,False,209.0,Bajo,Juan González,0.088,Adulto (36-50)
71,Carolina,Flores,carolina.flores71@mail.cl,M,2025-10-11,Biobío,Chile,31,551934,False,112.0,Bajo,Carolina Flores,0.0245,Adulto Joven (26-35)
72,Camila,Rodriguez,camila.rodriguez72@mail.cl,F,2025-04-09,Valparaíso,Chile,29,720184,False,297.0,Bajo,Camila Rodriguez,0.109,Adulto Joven (26-35)
73,Andrés,Pérez,andrés.pérez73@mail.cl,F,2025-02-08,Araucanía,Chile,62,1638356,False,357.0,Alto,Andrés Pérez,0.5703,Senior (+50)
74,Francisca,Santelices,francisca.santelices74@mail.cl,F,2025-08-03,Coquimbo,Chile,46,1913354,True,181.0,Alto,Francisca Santelices,0.7085,Adulto (36-50)
75,María,Valenzuela,maría.valenzuela75@mail.cl,F,2026-01-17,Valparaíso,Chile,55,1025830,False,14.0,Medio,María Valenzuela,0.2626,Senior (+50)
76,Rodrigo,Silva,rodrigo.silva76@mail.cl,F,2026-01-02,RM,Chile,22,1112380,True,29.0,Medio,Rodrigo Silva,0.3061,Joven (18-25)
77,Valentina,Rodriguez,valentina.rodriguez77@mail.cl,F,2025-05-25,RM,Chile,24,1192440,True,251.0,Medio,Valentina Rodriguez,0.3463,Joven (18-25)
78,Camila,Díaz,camila.díaz78@mail.cl,F,2025-12-30,Valparaíso,Chile,56,2191738,False,32.0,Alto,Camila Díaz,0.8483,Senior (+50)
79,Francisca,Rodriguez,francisca.rodriguez79@mail.cl,M,2025-08-30,Coquimbo,Chile,45,1290141,False,154.0,Medio,Francisca Rodriguez,0.3954,Adulto (36-50)
80,Camila,Araya,camila.araya80@mail.cl,F,2025-01-01,RM,Chile,20,2050284,False,395.0,Alto,Camila Araya,0.7772,Joven (18-25)
81,Constanza,Martínez,constanza.martínez81@mail.cl,M,2025-04-27,RM,Chile,23,2009433,False,279.0,Alto,Constanza Martínez,0.7567,Joven (18-25)
82,Rodrigo,Flores,rodrigo.flores82@mail.cl,M,2025-08-01,RM,Chile,28,1231899,True,183.0,Medio,Rodrigo Flores,0.3661,Adulto Joven (26-35)
83,Camila,Rodriguez,camila.rodriguez83@mail.cl,M,2025-08-21,Araucanía,Chile,66,2373421,True,163.0,Alto,Camila Rodriguez,0.9396,Senior (+50)
84,Josefa,González,josefa.gonzález84@mail.cl,M,2025-01-12,Valparaíso,Chile,27,1428479,False,384.0,Medio,Josefa González,0.4649,Adulto Joven (26-35)
85,Daniela,Soto,daniela.soto85@mail.cl,F,2025-05-02,RM,Chile,45,2063299,False,274.0,Alto,Daniela Soto,0.7838,Adulto (36-50)
86,Daniela,López,daniela.lópez86@mail.cl,F,2025-02-10,Coquimbo,Chile,53,2093023,True,355.0,Alto,Daniela López,0.7987,Senior (+50)
87,Valentina,Valenzuela,valentina.valenzuela87@mail.cl,M,2025-08-08,RM,Chile,65,582844,True,176.0,Bajo,Valentina Valenzuela,0.04,Senior (+50)
88,Constanza,Rodriguez,constanza.rodriguez88@mail.cl,M,2025-07-16,RM,Chile,64,1493176,False,199.0,Medio,Constanza Rodriguez,0.4974,Senior (+50)
89,Francisca,Silva,francisca.silva89@mail.cl,F,2025-04-29,Antofagasta,Chile,50,1610389,True,277.0,Alto,Francisca Silva,0.5562,Adulto (36-50)
90,María,Valenzuela,maría.valenzuela90@mail.cl,M,2025-08-05,RM,Chile,39,769114,True,179.0,Bajo,María Valenzuela,0.1336,Adulto (36-50)
91,Juan,Flores,juan.flores91@mail.cl,M,2025-11-07,Coquimbo,Chile,23,1823483,True,85.0,Alto,Juan Flores,0.6633,Joven (18-25)
92,Diego,Valenzuela,diego.valenzuela92@mail.cl,M,2025-02-22,Araucanía,Chile,54,1553385,False,343.0,Alto,Diego Valenzuela,0.5276,Senior (+50)
93,Pedro,González,pedro.gonzález93@mail.cl,M,2025-02-20,Coquimbo,Chile,62,1434604,False,345.0,Medio,Pedro González,0.4679,Senior (+50)
94,Constanza,González,constanza.gonzález94@mail.cl,M,2025-04-05,Biobío,Chile,25,1410886,False,301.0,Medio,Constanza González,0.456,Joven (18-25)
95,Francisca,Muñoz,francisca.muñoz95@mail.cl,F,2025-09-25,Biobío,Chile,18,1140053,False,128.0,Medio,Francisca Muñoz,0.32,Joven (18-25)
96,Diego,Espinoza,diego.espinoza96@mail.cl,F,2025-09-12,Biobío,Chile,64,1039542,True,141.0,Medio,Diego Espinoza,0.2695,Senior (+50)
97,Diego,Pérez,diego.pérez97@mail.cl,F,2025-07-11,Valparaíso,Chile,51,506949,False,204.0,Bajo,Diego Pérez,0.0019,Senior (+50)
98,María,Muñoz,maría.muñoz98@mail.cl,F,2025-11-04,Coquimbo,Chile,55,1474304,False,88.0,Medio,María Muñoz,0.4879,Senior (+50)
99,Josefa,Araya,josefa.araya99@mail.cl,F,2026-01-05,Valparaíso,Chile,46,933027,False,26.0,Medio,Josefa Araya,0.2159,Adulto (36-50)
100,Daniela,González,daniela.gonzález100@mail.cl,F,2025-03-10,Biobío,Chile,51,1359909,True,327.0,Medio,Daniela González,0.4304,Senior (+50)
101,María,Flores,maría.flores101@mail.cl,F,2025-04-21,Valparaíso,Chile,40,998870,False,285.0,Medio,María Flores,0.249,Adulto (36-50)
102,Josefa,Morales,josefa.morales102@mail.cl,F,2025-07-03,Valparaíso,Chile,42,1464163,False,212.0,Medio,Josefa Morales,0.4828,Adulto (36-50)
103,Pedro,Morales,pedro.morales103@mail.cl,M,2025-02-20,Araucanía,Chile,36,557108,True,345.0,Bajo,Pedro Morales,0.0271,Adulto (36-50)
104,María,Araya,maría.araya104@mail.cl,F,2025-01-01,RM,Chile,22,1915400,False,395.0,Alto,María Araya,0.7095,Joven (18-25)
105,Francisca,Espinoza,francisca.espinoza105@mail.cl,F,2025-03-14,RM,Chile,43,903704,True,323.0,Medio,Francisca Espinoza,0.2012,Adulto (36-50)
106,Sebastián,Soto,sebastián.soto106@mail.cl,M,2025-02-17,Coquimbo,Chile,34,595257,False,348.0,Bajo,Sebastián Soto,0.0463,Adulto Joven (26-35)
107,Juan,Silva,juan.silva107@mail.cl,M,2026-02-16,Coquimbo,Chile,39,1688365,False,-16.0,Alto,Juan Silva,0.5954,Adulto (36-50)
108,Carolina,Santelices,carolina.santelices108@mail.cl,F,2025-01-14,Coquimbo,Chile,68,2471206,True,382.0,Alto,Carolina Santelices,0.9887,Senior (+50)
109,Josefa,Santelices,josefa.santelices109@mail.cl,F,2025-10-01,Valparaíso,Chile,55,2178050,True,122.0,Alto,Josefa Santelices,0.8414,Senior (+50)
110,Josefa,Martínez,josefa.martínez110@mail.cl,M,2025-09-30,RM,Chile,56,1948021,False,123.0,Alto,Josefa Martínez,0.7259,Senior (+50)
111,Constanza,Araya,constanza.araya111@mail.cl,M,2025-03-09,Antofagasta,Chile,44,967010,True,328.0,Medio,Constanza Araya,0.233,Adulto (36-50)
112,Rodrigo,Muñoz,rodrigo.muñoz112@mail.cl,M,2025-04-21,Coquimbo,Chile,25,970951,True,285.0,Medio,Rodrigo Muñoz,0.235,Joven (18-25)
113,Carolina,Rodriguez,carolina.rodriguez113@mail.cl,F,2025-10-09,RM,Chile,51,1412826,False,114.0,Medio,Carolina Rodriguez,0.457,Senior (+50)
114,Andrés,Flores,andrés.flores114@mail.cl,F,2025-05-30,Valparaíso,Chile,38,616421,False,246.0,Bajo,Andrés Flores,0.0569,Adulto (36-50)
115,Felipe,Díaz,felipe.díaz115@mail.cl,F,2025-04-05,RM,Chile,41,1707094,True,301.0,Alto,Felipe Díaz,0.6048,Adulto (36-50)
116,Felipe,Rodriguez,felipe.rodriguez116@mail.cl,M,2025-08-11,RM,Chile,23,2195041,False,173.0,Alto,Felipe Rodriguez,0.85,Joven (18-25)
117,Carolina,Morales,carolina.morales117@mail.cl,F,2026-01-30,RM,Chile,55,1299666,False,1.0,Medio,Carolina Morales,0.4001,Senior (+50)
118,Sebastián,Muñoz,sebastián.muñoz118@mail.cl,M,2025-06-22,Coquimbo,Chile,61,637541,False,223.0,Bajo,Sebastián Muñoz,0.0675,Senior (+50)
119,Valentina,Díaz,valentina.díaz119@mail.cl,M,2025-05-20,RM,Chile,64,1354016,False,256.0,Medio,Valentina Díaz,0.4274,Senior (+50)
120,Constanza,Soto,constanza.soto120@mail.cl,M,2026-01-13,Coquimbo,Chile,60,1071650,True,18.0,Medio,Constanza Soto,0.2856,Senior (+50)
121,Valentina,Muñoz,valentina.muñoz121@mail.cl,F,2025-06-21,RM,Chile,19,878892,False,224.0,Medio,Valentina Muñoz,0.1887,Joven (18-25)
122,María,Díaz,maría.díaz122@mail.cl,M,,RM,Chile,28,593070,False,,Bajo,María Díaz,0.0452,Adulto Joven (26-35)
123,Valentina,Santelices,valentina.santelices123@mail.cl,M,2026-02-13,RM,Chile,67,1464163,True,-13.0,Medio,Valentina Santelices,0.4828,Senior (+50)
124,Daniela,Morales,daniela.morales124@mail.cl,M,2025-01-01,RM,Chile,57,2240095,False,395.0,Alto,Daniela Morales,0.8726,Senior (+50)
125,Carolina,Flores,carolina.flores125@mail.cl,F,2025-11-12,Biobío,Chile,47,2328130,True,80.0,Alto,Carolina Flores,0.9168,Adulto (36-50)
126,Diego,Pérez,diego.pérez126@mail.cl,M,2025-05-12,Valparaíso,Chile,42,1562636,False,264.0,Alto,Diego Pérez,0.5323,Adulto (36-50)
127,Sebastián,Muñoz,sebastián.muñoz127@mail.cl,F,2025-10-15,Coquimbo,Chile,68,835484,False,108.0,Medio,Sebastián Muñoz,0.1669,Senior (+50)
128,Juan,Santelices,juan.santelices128@mail.cl,M,2025-08-13,Coquimbo,Chile,64,938774,False,171.0,Medio,Juan Santelices,0.2188,Senior (+50)
129,Constanza,Pérez,constanza.pérez129@mail.cl,F,2025-07-17,RM,Chile,23,1772386,True,198.0,Alto,Constanza Pérez,0.6376,Joven (18-25)
130,Pedro,Silva,pedro.silva130@mail.cl,F,2025-06-06,RM,Chile,50,1607955,False,239.0,Alto,Pedro Silva,0.555,Adulto (36-50)
131,Felipe,Morales,felipe.morales131@mail.cl,F,2025-10-16,Araucanía,Chile,21,781173,False,107.0,Bajo,Felipe Morales,0.1397,Joven (18-25)
132,Francisca,Pérez,francisca.pérez132@mail.cl,M,2025-06-08,Biobío,Chile,64,1620483,True,237.0,Alto,Francisca Pérez,0.5613,Senior (+50)
133,Daniela,Díaz,daniela.díaz133@mail.cl,F,2025-06-06,Coquimbo,Chile,64,1632867,False,239.0,Alto,Daniela Díaz,0.5675,Senior (+50)
134,Rodrigo,Muñoz,rodrigo.muñoz134@mail.cl,M,2025-10-19,Valparaíso,Chile,43,1935434,True,104.0,Alto,Rodrigo Muñoz,0.7195,Adulto (36-50)
135,Diego,Díaz,diego.díaz135@mail.cl,M,2025-05-14,Araucanía,Chile,25,1603894,True,262.0,Alto,Diego Díaz,0.553,Joven (18-25)
136,Francisca,Espinoza,francisca.espinoza136@mail.cl,M,2025-07-29,RM,Chile,42,1170688,True,186.0,Medio,Francisca Espinoza,0.3353,Adulto (36-50)
137,Daniela,Araya,daniela.araya137@mail.cl,M,2025-11-20,Araucanía,Chile,22,1084567,True,72.0,Medio,Daniela Araya,0.2921,Joven (18-25)
138,Daniela,Valenzuela,daniela.valenzuela138@mail.cl,F,2025-02-20,Biobío,Chile,46,1543917,False,345.0,Alto,Daniela Valenzuela,0.5228,Adulto (36-50)
139,Sebastián,Soto,sebastián.soto139@mail.cl,M,2025-12-12,Coquimbo,Chile,44,1727171,False,50.0,Alto,Sebastián Soto,0.6149,Adulto (36-50)
140,Felipe,Martínez,felipe.martínez140@mail.cl,M,2025-05-29,Antofagasta,Chile,64,818408,True,247.0,Medio,Felipe Martínez,0.1584,Senior (+50)
141,Sebastián,López,sebastián.lópez141@mail.cl,F,2025-10-18,Biobío,Chile,69,1729336,False,105.0,Alto,Sebastián López,0.616,Senior (+50)
142,Andrés,Soto,andrés.soto142@mail.cl,F,2025-12-13,Coquimbo,Chile,34,1162143,True,49.0,Medio,Andrés Soto,0.3311,Adulto Joven (26-35)
143,Andrés,Araya,andrés.araya143@mail.cl,M,2025-06-29,RM,Chile,23,1306388,False,216.0,Medio,Andrés Araya,0.4035,Joven (18-25)
144,Juan,González,juan.gonzález144@mail.cl,M,2025-06-05,Coquimbo,Chile,67,2438900,True,240.0,Alto,Juan González,0.9725,Senior (+50)
145,Felipe,González,felipe.gonzález145@mail.cl,F,2025-12-08,Coquimbo,Chile,45,2225502,True,54.0,Alto,Felipe González,0.8653,Adulto (36-50)
146,Daniela,González,daniela.gonzález146@mail.cl,M,2025-08-03,Coquimbo,Chile,68,2359450,False,181.0,Alto,Daniela González,0.9326,Senior (+50)
147,Pedro,Espinoza,pedro.espinoza147@mail.cl,F,2025-10-13,Coquimbo,Chile,33,2166471,True,110.0,Alto,Pedro Espinoza,0.8356,Adulto Joven (26-35)
148,María,González,maría.gonzález148@mail.cl,F,2025-04-23,Valparaíso,Chile,67,2346493,False,283.0,Alto,María González,0.9261,Senior (+50)
149,Pedro,Valenzuela,pedro.valenzuela149@mail.cl,F,2026-02-08,RM,Chile,20,1627199,False,-8.0,Alto,Pedro Valenzuela,0.5647,Joven (18-25)
150,Francisca,Rodriguez,francisca.rodriguez150@mail.cl,F,2026-02-24,Coquimbo,Chile,45,2361407,False,-24.0,Alto,Francisca Rodriguez,0.9335,Adulto (36-50)
151,Felipe,Flores,felipe.flores151@mail.cl,F,2025-09-12,RM,Chile,25,949589,True,141.0,Medio,Felipe Flores,0.2243,Joven (18-25)
152,Josefa,Pérez,josefa.pérez152@mail.cl,M,2025-09-21,Antofagasta,Chile,51,1097794,False,132.0,Medio,Josefa Pérez,0.2987,Senior (+50)
153,Daniela,Espinoza,daniela.espinoza153@mail.cl,F,2026-01-04,Antofagasta,Chile,69,1464163,False,27.0,Medio,Daniela Espinoza,0.4828,Senior (+50)
154,Diego,Espinoza,diego.espinoza154@mail.cl,M,2025-11-26,RM,Chile,24,778176,True,66.0,Bajo,Diego Espinoza,0.1381,Joven (18-25)
155,Diego,Rodriguez,diego.rodriguez155@mail.cl,F,2025-07-07,RM,Chile,35,901921,True,208.0,Medio,Diego Rodriguez,0.2003,Adulto Joven (26-35)
156,Josefa,Pérez,josefa.pérez156@mail.cl,F,2026-01-03,RM,Chile,40,707990,False,28.0,Bajo,Josefa Pérez,0.1029,Adulto (36-50)
157,Camila,Pérez,camila.pérez157@mail.cl,M,2025-08-14,Coquimbo,Chile,61,1669250,False,170.0,Alto,Camila Pérez,0.5858,Senior (+50)
158,Francisca,Soto,francisca.soto158@mail.cl,F,2026-02-25,RM,Chile,63,2056182,False,-25.0,Alto,Francisca Soto,0.7802,Senior (+50)
159,Catalina,González,catalina.gonzález159@mail.cl,F,2025-02-09,RM,Chile,19,1262092,True,356.0,Medio,Catalina González,0.3813,Joven (18-25)
160,Felipe,Martínez,felipe.martínez160@mail.cl,F,2025-06-03,Valparaíso,Chile,46,1756556,False,242.0,Alto,Felipe Martínez,0.6297,Adulto (36-50)
161,Felipe,Pérez,felipe.pérez161@mail.cl,M,2025-02-11,Biobío,Chile,53,688456,False,354.0,Bajo,Felipe Pérez,0.0931,Senior (+50)
162,María,González,maría.gonzález162@mail.cl,M,2026-01-23,Valparaíso,Chile,44,2089589,True,8.0,Alto,María González,0.797,Adulto (36-50)
163,Andrés,Martínez,andrés.martínez163@mail.cl,M,2025-09-25,Antofagasta,Chile,62,1072212,True,128.0,Medio,Andrés Martínez,0.2859,Senior (+50)
164,Francisca,Flores,francisca.flores164@mail.cl,M,2025-05-02,Coquimbo,Chile,63,890719,False,274.0,Medio,Francisca Flores,0.1947,Senior (+50)
165,Carolina,Soto,carolina.soto165@mail.cl,M,2025-10-09,RM,Chile,46,1081780,True,114.0,Medio,Carolina Soto,0.2907,Adulto (36-50)
