cliente_id,nombre,apellido,email,genero,fecha_registro,region,pais,edad,ingreso_mensual,activo
31,Josefa,Rodriguez,josefa.rodriguez31@mail.cl,F,2025-05-08,Valparaíso,Chile,56.0,1387121.0,False
32,Juan,Morales,juan.morales32@mail.cl,F,2025-10-25,Valparaíso,Chile,52.0,647718.0,False
33,Catalina,López,catalina.lópez33@mail.cl,F,2025-01-02,Coquimbo,Chile,18.0,1914447.0,False
34,Carolina,Pérez,carolina.pérez34@mail.cl,M,2025-08-21,Antofagasta,Chile,52.0,1198002.0,False
35,Catalina,Rodriguez,catalina.rodriguez35@mail.cl,F,2025-04-26,Antofagasta,Chile,28.0,878480.0,False
36,Camila,Soto,camila.soto36@mail.cl,F,,Valparaíso,Chile,52.0,633272.0,True
37,María,Espinoza,maría.espinoza37@mail.cl,F,2025-06-18,Coquimbo,Chile,53.0,1638848.0,False
38,Juan,Espinoza,juan.espinoza38@mail.cl,M,2025-05-15,RM,Chile,20.0,2159280.0,False
39,Juan,Araya,juan.araya39@mail.cl,M,2025-08-26,RM,Chile,47.0,2021701.0,False
40,Rodrigo,Rodriguez,rodrigo.rodriguez40@mail.cl,F,2025-10-04,Antofagasta,Chile,47.0,860032.0,False
41,Josefa,González,josefa.gonzález41@mail.cl,M,2025-01-04,RM,Chile,52.0,2444624.0,False
42,Juan,Araya,juan.araya42@mail.cl,F,2025-01-06,Coquimbo,Chile,52.0,1187995.0,True
43,Diego,Silva,diego.silva43@mail.cl,M,2026-02-04,Coquimbo,Chile,50.0,1148307.0,True
44,Rodrigo,Pérez,rodrigo.pérez44@mail.cl,F,2025-05-08,Antofagasta,Chile,35.0,1189944.0,False
45,Josefa,Soto,josefa.soto45@mail.cl,F,2025-04-24,Araucanía,Chile,49.0,1552590.0,False
46,Felipe,Muñoz,felipe.muñoz46@mail.cl,M,2026-01-17,Coquimbo,Chile,57.0,1523904.0,True
47,Andrés,Soto,andrés.soto47@mail.cl,F,2025-01-26,Coquimbo,Chile,52.0,1992785.0,True
48,Daniela,Flores,daniela.flores48@mail.cl,F,2025-06-22,Coquimbo,Chile,44.5,764512.0,False
49,Catalina,Espinoza,catalina.espinoza49@mail.cl,F,2026-01-15,RM,Chile,45.0,1580673.0,False
50,Catalina,Santelices,catalina.santelices50@mail.cl,M,2025-03-04,RM,Chile,39.0,555609.0,False
51,Valentina,González,valentina.gonzález51@mail.cl,F,2025-04-11,RM,Chile,50.0,1464163.0,True
52,Carolina,Araya,carolina.araya52@mail.cl,F,2025-12-16,Valparaíso,Chile,64.0,1760386.0,True
53,Daniela,Díaz,daniela.díaz53@mail.cl,F,2025-06-07,Araucanía,Chile,36.0,1635248.0,False
54,Josefa,Rodriguez,josefa.rodriguez54@mail.cl,F,2025-04-27,Valparaíso,Chile,40.0,894366.0,True
55,Carolina,Pérez,carolina.pérez55@mail.cl,M,2025-10-17,RM,Chile,49.0,2211741.0,False
56,Catalina,Martínez,catalina.martínez56@mail.cl,F,2025-07-08,Araucanía,Chile,56.0,2102239.0,True
57,Diego,Soto,diego.soto57@mail.cl,M,2025-05-24,Coquimbo,Chile,68.0,644356.0,False
58,Sebastián,Flores,sebastián.flores58@mail.cl,F,2025-04-04,RM,Chile,63.0,578781.0,False
59,Diego,Araya,diego.araya59@mail.cl,F,2025-02-08,RM,Chile,53.0,2004544.0,False
60,Constanza,Pérez,constanza.pérez60@mail.cl,M,2026-02-05,RM,Chile,51.0,1150419.0,True
61,Francisca,López,francisca.lópez61@mail.cl,M,2026-01-05,Coquimbo,Chile,62.0,1946403.0,False
62,Daniela,Santelices,daniela.santelices62@mail.cl,F,2025-12-06,RM,Chile,41.0,2263211.0,False
63,Pedro,Araya,pedro.araya63@mail.cl,M,2025-04-11,Coquimbo,Chile,29.0,2048098.0,True
64,Juan,Silva,juan.silva64@mail.cl,F,2025-01-12,RM,Chile,48.0,1814093.0,False
65,Rodrigo,Rodriguez,rodrigo.rodriguez65@mail.cl,F,2025-09-21,Valparaíso,Chile,46.0,1138873.0,False
66,Francisca,Espinoza,francisca.espinoza66@mail.cl,F,2025-11-10,RM,Chile,67.0,657164.0,True
67,Rodrigo,Silva,rodrigo.silva67@mail.cl,F,2026-02-05,Coquimbo,Chile,27.0,1063044.0,True
68,Daniela,Rodriguez,daniela.rodriguez68@mail.cl,M,2025-04-06,Valparaíso,Chile,41.0,2292662.0,False
69,Catalina,Pérez,catalina.pérez69@mail.cl,F,2025-08-05,Coquimbo,Chile,52.0,914568.0,False
70,Juan,González,juan.gonzález70@mail.cl,F,2025-07-06,Coquimbo,Chile,36.0,678352.0,False
71,Carolina,Flores,carolina.flores71@mail.cl,M,2025-10-11,Biobío,Chile,31.0,551934.0,False
72,Camila,Rodriguez,camila.rodriguez72@mail.cl,F,2025-04-09,Valparaíso,Chile,29.0,720184.0,False
73,Andrés,Pérez,andrés.pérez73@mail.cl,F,2025-02-08,Araucanía,Chile,62.0,1638356.0,False
74,Francisca,Santelices,francisca.santelices74@mail.cl,F,2025-08-03,Coquimbo,Chile,46.0,1913354.0,True
75,María,Valenzuela,maría.valenzuela75@mail.cl,F,2026-01-17,Valparaíso,Chile,55.0,1025830.0,False
76,Rodrigo,Silva,rodrigo.silva76@mail.cl,F,2026-01-02,RM,Chile,22.0,1112380.0,True
77,Valentina,Rodriguez,valentina.rodriguez77@mail.cl,F,2025-05-25,RM,Chile,24.0,1192440.0,True
78,Camila,Díaz,camila.díaz78@mail.cl,F,2025-12-30,Valparaíso,Chile,56.0,2191738.0,False
79,Francisca,Rodriguez,francisca.rodriguez79@mail.cl,M,2025-08-30,Coquimbo,Chile,45.0,1290141.0,False
80,Camila,Araya,camila.araya80@mail.cl,F,2025-01-01,RM,Chile,20.0,2050284.0,False
81,Constanza,Martínez,constanza.martínez81@mail.cl,M,2025-04-27,RM,Chile,23.0,2009433.0,False
82,Rodrigo,Flores,rodrigo.flores82@mail.cl,M,2025-08-01,RM,Chile,28.0,1231899.0,True
83,Camila,Rodriguez,camila.rodriguez83@mail.cl,M,2025-08-21,Araucanía,Chile,66.0,2373421.0,True
84,Josefa,González,josefa.gonzález84@mail.cl,M,2025-01-12,Valparaíso,Chile,27.0,1428479.0,False
85,Daniela,Soto,daniela.soto85@mail.cl,F,2025-05-02,RM,Chile,45.0,2063299.0,False
86,Daniela,López,daniela.lópez86@mail.cl,F,2025-02-10,Coquimbo,Chile,53.0,2093023.0,True
87,Valentina,Valenzuela,valentina.valenzuela87@mail.cl,M,2025-08-08,RM,Chile,65.0,582844.0,True
88,Constanza,Rodriguez,constanza.rodriguez88@mail.cl,M,2025-07-16,RM,Chile,64.0,1493176.0,False
89,Francisca,Silva,francisca.silva89@mail.cl,F,2025-04-29,Antofagasta,Chile,50.0,1610389.0,True
90,María,Valenzuela,maría.valenzuela90@mail.cl,M,2025-08-05,RM,Chile,39.0,769114.0,True
91,Juan,Flores,juan.flores91@mail.cl,M,2025-11-07,Coquimbo,Chile,23.0,1823483.0,True
92,Diego,Valenzuela,diego.valenzuela92@mail.cl,M,2025-02-22,Araucanía,Chile,54.0,1553385.0,False
93,Pedro,González,pedro.gonzález93@mail.cl,M,2025-02-20,Coquimbo,Chile,62.0,1434604.0,False
94,Constanza,González,constanza.gonzález94@mail.cl,M,2025-04-05,Biobío,Chile,25.0,1410886.0,False
95,Francisca,Muñoz,francisca.muñoz95@mail.cl,F,2025-09-25,Biobío,Chile,18.0,1140053.0,False
96,Diego,Espinoza,diego.espinoza96@mail.cl,F,2025-09-12,Biobío,Chile,64.0,1039542.0,True
97,Diego,Pérez,diego.pérez97@mail.cl,F,2025-07-11,Valparaíso,Chile,51.0,506949.0,False
98,María,Muñoz,maría.muñoz98@mail.cl,F,2025-11-04,Coquimbo,Chile,55.0,1474304.0,False
99,Josefa,Araya,josefa.araya99@mail.cl,F,2026-01-05,Valparaíso,Chile,46.0,933027.0,False
100,Daniela,González,daniela.gonzález100@mail.cl,F,2025-03-10,Biobío,Chile,51.0,1359909.0,True
101,María,Flores,maría.flores101@mail.cl,F,2025-04-21,Valparaíso,Chile,40.0,998870.0,False
102,Josefa,Morales,josefa.morales102@mail.cl,F,2025-07-03,Valparaíso,Chile,42.0,1464163.0,False
103,Pedro,Morales,pedro.morales103@mail.cl,M,2025-02-20,Araucanía,Chile,36.0,557108.0,True
104,María,Araya,maría.araya104@mail.cl,F,2025-01-01,RM,Chile,22.0,1915400.0,False
105,Francisca,Espinoza,francisca.espinoza105@mail.cl,F,2025-03-14,RM,Chile,43.0,903704.0,True
106,Sebastián,Soto,sebastián.soto106@mail.cl,M,2025-02-17,Coquimbo,Chile,34.0,595257.0,False
107,Juan,Silva,juan.silva107@mail.cl,M,2026-02-16,Coquimbo,Chile,39.0,1688365.0,False
108,Carolina,Santelices,carolina.santelices108@mail.cl,F,2025-01-14,Coquimbo,Chile,68.0,2471206.0,True
109,Josefa,Santelices,josefa.santelices109@mail.cl,F,2025-10-01,Valparaíso,Chile,55.0,2178050.0,True
110,Josefa,Martínez,josefa.martínez110@mail.cl,M,2025-09-30,RM,Chile,56.0,1948021.0,False
111,Constanza,Araya,constanza.araya111@mail.cl,M,2025-03-09,Antofagasta,Chile,44.5,967010.0,True
112,Rodrigo,Muñoz,rodrigo.muñoz112@mail.cl,M,2025-04-21,Coquimbo,Chile,25.0,970951.0,True
113,Carolina,Rodriguez,carolina.rodriguez113@mail.cl,F,2025-10-09,RM,Chile,51.0,1412826.0,False
114,Andrés,Flores,andrés.flores114@mail.cl,F,2025-05-30,Valparaíso,Chile,38.0,616421.0,False
115,Felipe,Díaz,felipe.díaz115@mail.cl,F,2025-04-05,RM,Chile,41.0,1707094.0,True
116,Felipe,Rodriguez,felipe.rodriguez116@mail.cl,M,2025-08-11,RM,Chile,23.0,2195041.0,False
117,Carolina,Morales,carolina.morales117@mail.cl,F,2026-01-30,RM,Chile,55.0,1299666.0,False
118,Sebastián,Muñoz,sebastián.muñoz118@mail.cl,M,2025-06-22,Coquimbo,Chile,61.0,637541.0,False
119,Valentina,Díaz,valentina.díaz119@mail.cl,M,2025-05-20,RM,Chile,64.0,1354016.0,False
120,Constanza,Soto,constanza.soto120@mail.cl,M,2026-01-13,Coquimbo,Chile,60.0,1071650.0,True
121,Valentina,Muñoz,valentina.muñoz121@mail.cl,F,2025-06-21,RM,Chile,19.0,878892.0,False
122,María,Díaz,maría.díaz122@mail.cl,M,,RM,Chile,28.0,593070.0,False
123,Valentina,Santelices,valentina.santelices123@mail.cl,M,2026-02-13,RM,Chile,67.0,1464163.0,True
124,Daniela,Morales,daniela.morales124@mail.cl,M,2025-01-01,RM,Chile,57.0,2240095.0,False
125,Carolina,Flores,carolina.flores125@mail.cl,F,2025-11-12,Biobío,Chile,47.0,2328130.0,True
126,Diego,Pérez,diego.pérez126@mail.cl,M,2025-05-12,Valparaíso,Chile,42.0,1562636.0,False
127,Sebastián,Muñoz,sebastián.muñoz127@mail.cl,F,2025-10-15,Coquimbo,Chile,68.0,835484.0,False
128,Juan,Santelices,juan.santelices128@mail.cl,M,2025-08-13,Coquimbo,Chile,64.0,938774.0,False
129,Constanza,Pérez,constanza.pérez129@mail.cl,F,2025-07-17,RM,Chile,23.0,1772386.0,True
130,Pedro,Silva,pedro.silva130@mail.cl,F,2025-06-06,RM,Chile,50.0,1607955.0,False
131,Felipe,Morales,felipe.morales131@mail.cl,F,2025-10-16,Araucanía,Chile,21.0,781173.0,False
132,Francisca,Pérez,francisca.pérez132@mail.cl,M,2025-06-08,Biobío,Chile,64.0,1620483.0,True
133,Daniela,Díaz,daniela.díaz133@mail.cl,F,2025-06-06,Coquimbo,Chile,64.0,1632867.0,False
134,Rodrigo,Muñoz,rodrigo.muñoz134@mail.cl,M,2025-10-19,Valparaíso,Chile,43.0,1935434.0,True
135,Diego,Díaz,diego.díaz135@mail.cl,M,2025-05-14,Araucanía,Chile,25.0,1603894.0,True
136,Francisca,Espinoza,francisca.espinoza136@mail.cl,M,2025-07-29,RM,Chile,42.0,1170688.0,True
137,Daniela,Araya,daniela.araya137@mail.cl,M,2025-11-20,Araucanía,Chile,22.0,1084567.0,True
138,Daniela,Valenzuela,daniela.valenzuela138@mail.cl,F,2025-02-20,Biobío,Chile,46.0,1543917.0,False
139,Sebastián,Soto,sebastián.soto139@mail.cl,M,2025-12-12,Coquimbo,Chile,44.5,1727171.0,False
140,Felipe,Martínez,felipe.martínez140@mail.cl,M,2025-05-29,Antofagasta,Chile,64.0,818408.0,True
141,Sebastián,López,sebastián.lópez141@mail.cl,F,2025-10-18,Biobío,Chile,69.0,1729336.0,False
142,Andrés,Soto,andrés.soto142@mail.cl,F,2025-12-13,Coquimbo,Chile,34.0,1162143.0,True
143,Andrés,Araya,andrés.araya143@mail.cl,M,2025-06-29,RM,Chile,23.0,1306388.0,False
144,Juan,González,juan.gonzález144@mail.cl,M,2025-06-05,Coquimbo,Chile,67.0,2438900.0,True
145,Felipe,González,felipe.gonzález145@mail.cl,F,2025-12-08,Coquimbo,Chile,45.0,2225502.0,True
146,Daniela,González,daniela.gonzález146@mail.cl,M,2025-08-03,Coquimbo,Chile,68.0,2359450.0,False
147,Pedro,Espinoza,pedro.espinoza147@mail.cl,F,2025-10-13,Coquimbo,Chile,33.0,2166471.0,True
148,María,González,maría.gonzález148@mail.cl,F,2025-04-23,Valparaíso,Chile,67.0,2346493.0,False
149,Pedro,Valenzuela,pedro.valenzuela149@mail.cl,F,2026-02-08,RM,Chile,20.0,1627199.0,False
150,Francisca,Rodriguez,francisca.rodriguez150@mail.cl,F,2026-02-24,Coquimbo,Chile,45.0,2361407.0,False
151,Felipe,Flores,felipe.flores151@mail.cl,F,2025-09-12,RM,Chile,25.0,949589.0,True
152,Josefa,Pérez,josefa.pérez152@mail.cl,M,2025-09-21,Antofagasta,Chile,51.0,1097794.0,False
153,Daniela,Espinoza,daniela.espinoza153@mail.cl,F,2026-01-04,Antofagasta,Chile,69.0,1464163.0,False
154,Diego,Espinoza,diego.espinoza154@mail.cl,M,2025-11-26,RM,Chile,24.0,778176.0,True
155,Diego,Rodriguez,diego.rodriguez155@mail.cl,F,2025-07-07,RM,Chile,35.0,901921.0,True
156,Josefa,Pérez,josefa.pérez156@mail.cl,F,2026-01-03,RM,Chile,40.0,707990.0,False
157,Camila,Pérez,camila.pérez157@mail.cl,M,2025-08-14,Coquimbo,Chile,61.0,1669250.0,False
158,Francisca,Soto,francisca.soto158@mail.cl,F,2026-02-25,RM,Chile,63.0,2056182.0,False
159,Catalina,González,catalina.gonzález159@mail.cl,F,2025-02-09,RM,Chile,19.0,1262092.0,True
160,Felipe,Martínez,felipe.martínez160@mail.cl,F,2025-06-03,Valparaíso,Chile,46.0,1756556.0,False
161,Felipe,Pérez,felipe.pérez161@mail.cl,M,2025-02-11,Biobío,Chile,53.0,688456.0,False
162,María,González,maría.gonzález162@mail.cl,M,2026-01-23,Valparaíso,Chile,44.5,2089589.0,True
163,Andrés,Martínez,andrés.martínez163@mail.cl,M,2025-09-25,Antofagasta,Chile,62.0,1072212.0,True
164,Francisca,Flores,francisca.flores164@mail.cl,M,2025-05-02,Coquimbo,Chile,63.0,890719.0,False
165,Carolina,Soto,carolina.soto165@mail.cl,M,2025-10-09,RM,Chile,46.0,1081780.0,True
166,Daniela,Morales,daniela.morales166@mail.cl,F,2025-08-20,Antofagasta,Chile,52.0,878165.0,False
167,Felipe,Valenzuela,felipe.valenzuela167@mail.cl,F,2025-10-16,Araucanía,Chile,53.0,1754126.0,False
168,Pedro,Rodriguez,pedro.rodriguez168@mail.cl,F,2025-07-20,RM,Chile,43.0,999137.0,True
169,Sebastián,Martínez,sebastián.martínez169@mail.cl,F,2025-04-14,Valparaíso,Chile,59.0,1397048.0,True
170,Pedro,Rodriguez,pedro.rodriguez170@mail.cl,F,2025-04-12,Biobío,Chile,51.0,785195.0,True
171,Diego,Araya,diego.araya171@mail.cl,M,2025-11-26,Antofagasta,Chile,66.0,819278.0,False
172,Constanza,Silva,constanza.silva172@mail.cl,M,2026-01-23,Valparaíso,Chile,54.0,2140821.0,False
173,Valentina,Silva,valentina.silva173@mail.cl,M,2025-02-28,Antofagasta,Chile,43.0,1901320.0,True
174,Francisca,Valenzuela,francisca.valenzuela174@mail.cl,F,2026-01-23,Valparaíso,Chile,43.0,818420.0,False
175,Francisca,Santelices,francisca.santelices175@mail.cl,F,2025-06-25,RM,Chile,25.0,2025233.0,True
176,Felipe,Flores,felipe.flores176@mail.cl,F,2025-04-13,Valparaíso,Chile,34.0,1638189.0,True
177,Daniela,Rodriguez,daniela.rodriguez177@mail.cl,F,2025-10-20,RM,Chile,60.0,634055.0,False
178,Felipe,Santelices,felipe.santelices178@mail.cl,F,2026-01-04,Coquimbo,Chile,46.0,646389.0,True
179,Rodrigo,Muñoz,rodrigo.muñoz179@mail.cl,M,2025-11-07,Antofagasta,Chile,52.0,959297.0,False
180,Andrés,Santelices,andrés.santelices180@mail.cl,M,2026-02-04,Coquimbo,Chile,56.0,1393741.0,False
181,Rodrigo,Espinoza,rodrigo.espinoza181@mail.cl,M,2025-07-04,Coquimbo,Chile,33.0,1109719.0,False
182,Josefa,Martínez,josefa.martínez182@mail.cl,F,2025-12-06,RM,Chile,22.0,1952608.0,False
183,Juan,Rodriguez,juan.rodriguez183@mail.cl,M,2025-11-20,RM,Chile,35.0,1399005.0,True
184,Sebastián,González,sebastián.gonzález184@mail.cl,M,2025-11-01,Araucanía,Chile,41.0,2278627.0,False
185,Andrés,López,andrés.lópez185@mail.cl,M,2025-07-17,Biobío,Chile,56.0,1410775.0,True
186,Constanza,Silva,constanza.silva186@mail.cl,M,2026-01-07,Antofagasta,Chile,69.0,693283.0,True
187,Daniela,Díaz,daniela.díaz187@mail.cl,M,2025-11-26,Valparaíso,Chile,60.0,1610241.0,True
188,Francisca,Martínez,francisca.martínez188@mail.cl,M,2026-01-05,Araucanía,Chile,22.0,2146645.0,True
189,Felipe,González,felipe.gonzález189@mail.cl,M,2026-02-11,Antofagasta,Chile,52.0,2329553.0,False
190,Constanza,González,constanza.gonzález190@mail.cl,F,2025-09-26,Antofagasta,Chile,64.0,1346936.0,True
191,Camila,Espinoza,camila.espinoza191@mail.cl,M,2026-01-03,RM,Chile,45.0,1464163.0,True
192,Pedro,Martínez,pedro.martínez192@mail.cl,F,2026-02-09,Antofagasta,Chile,42.0,826916.0,True
193,Andrés,Muñoz,andrés.muñoz193@mail.cl,F,,RM,Chile,65.0,1660793.0,False
194,Valentina,Pérez,valentina.pérez194@mail.cl,F,2026-01-13,RM,Chile,34.0,625991.0,True
195,Catalina,Espinoza,catalina.espinoza195@mail.cl,M,2025-02-09,Antofagasta,Chile,51.0,1882439.0,True
196,Rodrigo,Flores,rodrigo.flores196@mail.cl,M,2025-06-17,Antofagasta,Chile,45.0,990042.0,True
197,Catalina,Martínez,catalina.martínez197@mail.cl,M,2025-06-19,Biobío,Chile,53.0,2421214.0,True
198,Valentina,Araya,valentina.araya198@mail.cl,M,2026-02-26,Antofagasta,Chile,68.0,1209662.0,True
199,Francisca,López,francisca.lópez199@mail.cl,F,2025-03-23,RM,Chile,53.0,626209.0,False
200,Rodrigo,Flores,rodrigo.flores200@mail.cl,F,2025-02-15,RM,Chile,44.0,1484176.0,True
201,Juan,Silva,juan.silva201@mail.cl,M,,RM,Chile,65.0,702053.0,True
202,Constanza,Santelices,constanza.santelices202@mail.cl,F,2026-01-28,Coquimbo,Chile,32.0,2164221.0,True
203,Rodrigo,Soto,rodrigo.soto203@mail.cl,F,2025-11-20,RM,Chile,44.0,2054623.0,True
204,Carolina,Soto,carolina.soto204@mail.cl,M,2025-04-30,Coquimbo,Chile,35.0,2402897.0,False
205,Catalina,Valenzuela,catalina.valenzuela205@mail.cl,M,2025-01-07,Coquimbo,Chile,46.0,1148074.0,True
206,Valentina,Valenzuela,valentina.valenzuela206@mail.cl,M,2025-01-26,Biobío,Chile,51.0,1312461.0,False
207,Rodrigo,Díaz,rodrigo.díaz207@mail.cl,M,2026-01-15,RM,Chile,46.0,1886652.0,True
208,Camila,Muñoz,camila.muñoz208@mail.cl,M,2025-01-27,Valparaíso,Chile,20.0,1272944.0,False
209,Carolina,Silva,carolina.silva209@mail.cl,F,2026-02-06,Valparaíso,Chile,37.0,1073189.0,True
210,Sebastián,Pérez,sebastián.pérez210@mail.cl,M,2025-01-15,RM,Chile,51.0,1419484.0,True
211,Catalina,González,catalina.gonzález211@mail.cl,M,2025-07-27,Valparaíso,Chile,44.0,2303847.0,False
212,Constanza,Martínez,constanza.martínez212@mail.cl,M,2025-01-27,RM,Chile,63.0,847697.0,False
213,Felipe,Rodriguez,felipe.rodriguez213@mail.cl,M,2025-11-12,RM,Chile,20.0,2219187.0,False
214,Josefa,Martínez,josefa.martínez214@mail.cl,F,2025-08-24,RM,Chile,44.5,1058819.0,True
215,Valentina,Martínez,valentina.martínez215@mail.cl,F,2025-04-27,RM,Chile,19.0,1341047.0,False
216,Andrés,Flores,andrés.flores216@mail.cl,M,2025-11-16,RM,Chile,35.0,2418317.0,True
217,Josefa,Soto,josefa.soto217@mail.cl,F,2025-04-12,Valparaíso,Chile,58.0,1464163.0,True
218,Valentina,Rodriguez,valentina.rodriguez218@mail.cl,F,2025-02-15,RM,Chile,49.0,1793774.0,False
219,Valentina,Soto,valentina.soto219@mail.cl,F,2025-08-30,Valparaíso,Chile,50.0,1073441.0,True
220,Juan,Martínez,juan.martínez220@mail.cl,M,2026-01-26,RM,Chile,39.0,1863046.0,False
221,Valentina,Santelices,valentina.santelices221@mail.cl,F,2026-02-03,Valparaíso,Chile,59.0,509078.0,False
222,Juan,Silva,juan.silva222@mail.cl,M,2026-01-09,RM,Chile,23.0,2190696.0,True
223,Josefa,Martínez,josefa.martínez223@mail.cl,F,2026-01-28,Araucanía,Chile,37.0,906845.0,True
224,Andrés,Valenzuela,andrés.valenzuela224@mail.cl,M,2025-11-10,Valparaíso,Chile,39.0,1229497.0,True
225,Pedro,Valenzuela,pedro.valenzuela225@mail.cl,M,2025-01-12,RM,Chile,40.0,2182955.0,True
226,Sebastián,Flores,sebastián.flores226@mail.cl,M,2026-02-05,RM,Chile,62.0,1576956.0,True
227,Diego,Santelices,diego.santelices227@mail.cl,F,2025-07-30,Coquimbo,Chile,39.0,1717060.0,False
228,Daniela,Martínez,daniela.martínez228@mail.cl,M,2025-02-04,Valparaíso,Chile,46.0,2351317.0,True
229,Josefa,González,josefa.gonzález229@mail.cl,M,2026-01-31,Coquimbo,Chile,41.0,1360563.0,True
230,Camila,Araya,camila.araya230@mail.cl,F,2025-02-19,Biobío,Chile,66.0,1891538.0,False
231,Sebastián,Díaz,sebastián.díaz231@mail.cl,F,2025-03-07,Valparaíso,Chile,32.0,1836737.0,False
232,Valentina,Santelices,valentina.santelices232@mail.cl,F,2025-05-05,Araucanía,Chile,29.0,749474.0,True
233,María,Silva,maría.silva233@mail.cl,M,2025-01-08,Valparaíso,Chile,53.0,1965071.0,False
234,Felipe,López,felipe.lópez234@mail.cl,F,2025-10-20,RM,Chile,22.0,1724613.0,True
235,Sebastián,Espinoza,sebastián.espinoza235@mail.cl,F,2025-08-19,Antofagasta,Chile,42.0,601459.0,False
236,Felipe,Soto,felipe.soto236@mail.cl,M,2026-01-02,RM,Chile,52.0,1536548.0,True
237,Juan,Silva,juan.silva237@mail.cl,F,2026-02-16,RM,Chile,48.0,1404586.0,False
238,Pedro,Soto,pedro.soto238@mail.cl,F,2025-11-28,RM,Chile,47.0,1568392.0,True
239,Diego,Díaz,diego.díaz239@mail.cl,F,2025-03-05,Valparaíso,Chile,37.0,2442811.0,True
240,Andrés,Pérez,andrés.pérez240@mail.cl,M,2025-04-30,Valparaíso,Chile,61.0,841815.0,False
241,Josefa,Valenzuela,josefa.valenzuela241@mail.cl,F,2025-11-30,RM,Chile,19.0,1464163.0,True
242,Diego,Díaz,diego.díaz242@mail.cl,F,2025-07-17,RM,Chile,54.0,1708052.0,True
243,Diego,González,diego.gonzález243@mail.cl,M,2025-10-03,Coquimbo,Chile,67.0,1680887.0,True
244,Andrés,Espinoza,andrés.espinoza244@mail.cl,F,2026-02-08,RM,Chile,48.0,1867223.0,True
245,Andrés,Muñoz,andrés.muñoz245@mail.cl,M,2025-05-06,Valparaíso,Chile,62.0,890479.0,False
